City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,broome,42.2506,-75.833,10.92,27,0,2.57,US,1680989619
185,arraial do cabo,-22.9661,-42.0278,23.92,94,75,1.54,BR,1680989533
186,adrar,20.5022,-10.0711,27.47,15,100,3.39,MR,1680989619
187,kerman,30.2832,57.0788,12.92,35,0,0.0,IR,1680989619
188,san patricio,28.017,-97.5169,22.88,67,98,2.7,US,1680989619
189,kaitangata,-46.2817,169.8464,12.74,61,100,6.49,NZ,1680989619
190,puksoozero,62.5903,40.6066,-2.97,99,37,1.28,RU,1680989620
191,tuktoyaktuk,69.4541,-133.0374,-20.0,71,20,0.0,CA,1680989620
192,san lazaro,18.0387,-88.6622,32.77,30,0,5.58,BZ,1680989620
193,narasannapeta,18.4167,84.05,25.46,79,0,2.32,IN,1680989620
194,lubango,-14.9172,13.4925,16.92,82,0,2.06,AO,1680989620
195,miraflores,19.2167,-98.8083,25.36,35,70,4.12,MX,1680989620
196,camacha,33.0833,-16.3333,15.68,59,20,0.51,PT,1680989620
197,kihei,20.785,-156.4656,27.01,77,40,10.8,US,1680989446
198,avera,33.194,-82.5271,7.73,95,100,8.24,US,1680989620
199,sandim,41.0351,-8.507,16.38,82,85,0.88,PT,1680989620
200,bonthe,7.5264,-12.505,26.22,80,40,0.95,SL,1680989621
201,paducah,37.0834,-88.6001,19.12,32,20,6.17,US,1680989503
202,okhotsk,59.3833,143.3,-14.02,85,10,3.75,RU,1680989621
203,nandigama,16.7833,80.3,26.09,72,0,1.31,IN,1680989621
204,ginir,7.1333,40.7,14.86,76,31,1.82,ET,1680989621
205,geraldton,-28.7667,114.6,11.23,87,0,2.57,AU,1680989621
206,urusha,54.05,122.9,-8.96,84,38,2.31,RU,1680989621
207,tabou,4.423,-7.3528,27.16,83,99,4.2,CI,1680989621
208,luau,-10.7073,22.2247,17.51,96,96,1.33,AO,1680989621
209,clyde river,70.4692,-68.5914,-17.87,78,0,11.83,CA,1680989621
210,petatlan,17.5167,-101.2667,31.89,40,3,3.47,MX,1680989621
211,baghdad,33.3406,44.4009,18.95,52,75,3.09,IQ,1680989486
212,esperance,-33.8667,121.9,15.14,83,89,4.33,AU,1680989622
213,flinders,-34.5833,150.8552,15.66,59,5,4.47,AU,1680989622
214,mezen,65.8522,44.24,-0.2,93,100,3.24,RU,1680989622
215,ca mau,9.1769,105.15,26.25,81,25,2.92,VN,1680989622
216,bubaque,11.2833,-15.8333,25.64,74,100,9.32,GW,1680989622
217,mareeba,-17.0,145.4333,23.02,91,100,0.55,AU,1680989622
218,khatanga,71.9667,102.5,-23.73,98,100,2.45,RU,1680989622
219,sabang,5.8933,95.3214,28.25,73,99,5.0,ID,1680989622
220,peoria,40.7667,-89.7668,19.26,24,0,4.63,US,1680989622
221,soavinandriana,-19.1667,46.7333,13.65,94,97,1.4,MG,1680989622
222,kabo,7.6994,18.629,29.17,27,45,1.51,CF,1680989623
223,eureka,40.8021,-124.1637,15.34,63,100,3.13,US,1680989623
224,neepawa,50.2289,-99.4664,4.22,100,100,4.37,CA,1680989623
225,houma,29.5958,-90.7195,24.44,74,75,4.12,US,1680989480
226,buala,-8.145,159.5921,26.84,82,97,0.3,SB,1680989623
227,menongue,-14.6585,17.691,17.62,64,100,2.06,AO,1680989623
228,meulaboh,4.1363,96.1285,24.55,91,98,2.01,ID,1680989623
229,sur,22.5667,59.5289,26.17,61,49,4.57,OM,1680989623
230,porto torres,40.835,8.3972,9.1,80,14,1.16,IT,1680989623
231,fare,-16.7,-151.0167,27.94,78,62,8.73,PF,1680989624
232,rongcheng,30.634,117.8517,9.62,68,1,1.74,CN,1680989624
233,bukama,-9.2,25.85,20.85,94,98,0.58,CD,1680989624
234,saint-pierre,-21.3393,55.4781,25.82,73,75,1.54,RE,1680989624
